iter	RMSE
354	206.8571444
355	206.7346105
356	206.4629313
357	206.1925247
358	205.8240315
359	205.4246282
360	205.1455296
361	204.9607053
362	204.905858
363	204.8895484
364	204.5406642
365	204.3317148
366	204.0251839
367	203.7150086
368	203.5584813
369	203.2729857
370	203.0566567
371	202.806282
372	202.4325023
373	202.2016726
374	201.8302412
375	201.8042225
376	201.7200569
377	201.2897814
378	201.0361079
379	200.6429988
380	200.53215
381	200.1946907
382	199.9227411
383	199.6632506
384	199.2195376
385	198.9008399
386	198.6297874
387	198.3208674
388	197.9466413
389	197.672499
390	197.4127204
391	197.2031753
392	197.1511636
393	196.8302801
394	196.4204313
395	196.2287248
396	195.9977672
397	195.5817238
398	195.2844649
399	195.0822148
400	194.821637
401	194.7195246
402	194.3225535
403	194.0261163
404	193.8383054
405	193.7692003
406	193.4993129
407	193.2144437
408	192.9459781
409	192.763501
410	192.6019027
411	192.375326
412	192.0694946
413	191.9030275
414	191.5493794
415	191.2246169
416	191.0230104
417	190.7827145
418	190.5931746
419	190.3627231
420	190.2216535
421	190.0214093
422	189.9265355
423	189.8367835
424	189.7517887
425	189.3976222
426	189.3065983
427	189.0805006
428	188.8218075
429	188.7328805
430	188.5726419
431	188.2893681
432	187.9514884
433	187.6036194
434	187.2354814
435	187.0121541
436	186.8314233
437	186.6205291
438	186.2017698
439	185.9418287
440	185.6697982
441	185.4339933
442	185.3202067
443	185.0804231
444	184.8379165
445	184.5720285
446	184.4801015
447	184.3431724
448	184.2057615
449	184.0680223
450	183.9472529
451	183.8172275
452	183.758675
453	183.4556821
454	183.3306398
455	183.0157686
456	182.7324425
457	182.487984
458	182.1722642
459	182.046916
460	181.9552628
461	181.7619111
462	181.4817567
463	181.4016143
464	181.0934752
465	180.8688074
466	180.8147432
467	180.7627153
468	180.6851994
469	180.5574478
470	180.4726353
471	180.1859858
472	180.106451
473	179.8370108
474	179.7869308
475	179.5800962
476	179.2545394
477	179.0120737
478	178.9341658
479	178.9165062
480	178.8991935
481	178.6264872
482	178.5991105
483	178.5698109
484	178.4350111
485	178.3535665
486	178.0793846
487	177.7881618
488	177.7096403
489	177.6928341
490	177.4969966
491	177.3179665
492	177.3072881
493	177.0974158
494	176.872492
495	176.7576887
496	176.6415486
497	176.6232852
498	176.4725589
499	176.310198
